                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1393,                 2.4287,                  1.545,                0.94071,                  0.413,                0.61241,                0.42154,                0.87854,                 3.4372,                 1.3917,             0.00054244,             0.00054244,             0.00054244
                      2,                 1.1112,                 1.8403,                 1.5009,                0.92048,                0.44067,                0.53234,                 0.3505,                 1.0572,                 3.4599,                 1.6292,              0.0010764,              0.0010764,              0.0010764
                      3,                 1.1794,                 1.7085,                  1.525,                0.52331,                0.66355,                0.59851,                0.33516,                 1.1527,                 3.9458,                 1.7613,              0.0015883,              0.0015883,              0.0015883
                      4,                 1.2309,                 1.6618,                 1.5751,                0.58653,                0.55109,                0.55608,                0.27654,                  1.219,                 8.6436,                 1.8799,               0.001568,               0.001568,               0.001568
                      5,                 1.1873,                 1.5773,                 1.5601,                0.69694,                0.59611,                0.67904,                0.41084,                 1.1812,                 2.2227,                 1.7672,               0.001535,               0.001535,               0.001535
                      6,                 1.1488,                 1.3966,                 1.5186,                0.79382,                0.77829,                0.81425,                0.53793,                 1.0303,                  1.578,                 1.5143,               0.001502,               0.001502,               0.001502
                      7,                 1.1473,                 1.3309,                 1.4965,                0.83773,                 0.7842,                 0.8421,                0.57183,                0.94782,                 1.4377,                 1.4828,               0.001469,               0.001469,               0.001469
                      8,                 1.0772,                 1.1672,                 1.4204,                 0.6937,                 0.7461,                0.76875,                0.53958,                0.94681,                 1.6742,                 1.5319,               0.001436,               0.001436,               0.001436
                      9,                  1.095,                 1.1735,                 1.4545,                0.76463,                0.76395,                0.78711,                  0.485,                 1.1339,                 1.2971,                 1.5563,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.0585,                 1.1278,                 1.4206,                  0.867,                0.76928,                0.85704,                0.56394,                0.93205,                 1.1192,                 1.4409,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.0433,                 1.1019,                 1.3976,                0.66411,                 0.8253,                0.80809,                0.55645,                0.84392,                  1.548,                  1.317,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.0153,                 1.0308,                 1.3932,                0.77226,                0.72245,                0.73193,                0.53327,                0.87349,                 1.8359,                 1.3717,              0.0013039,              0.0013039,              0.0013039
                     13,                0.99858,                 1.0187,                 1.3684,                0.86051,                 0.7611,                0.83338,                0.58557,                0.90966,                0.99648,                 1.3809,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.0182,                 0.9892,                  1.384,                0.71653,                 0.7554,                0.81502,                0.54295,                0.91842,                 1.0941,                 1.3937,              0.0012379,              0.0012379,              0.0012379
                     15,                0.98857,                0.91614,                 1.3612,                0.89065,                0.83735,                0.92459,                0.68253,                0.76669,                0.79548,                  1.212,              0.0012049,              0.0012049,              0.0012049
